workload,family,qubits,depth,entanglement,oracle_algorithmic,rule_algorithmic,oracle_hardware,rule_hardware,nexar_label
classical_01_neural_network_backprop,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_02_protein_folding_energy,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_03_molecular_dynamics,simulation,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_04_genome_sequence_alignment,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_05_pca_dimensionality_reduction,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_06_epidemic_sir_model,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_07_fft_signal_processing,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_08_kmeans_clustering,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_09_heat_equation_pde,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_10_decision_tree_classifier,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_11_cnn_image_classifier_training,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_12_transformer_attention_forward,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_13_reinforcement_learning_q_table,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_14_gan_training_loop,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_15_gradient_boosting_classifier,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_16_cfd_lid_driven_cavity,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_17_climate_energy_balance_model,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_18_nbody_gravitational_sim,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_19_monte_carlo_option_pricing,primitive,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_20_traveling_salesman_branch_bound,optimization,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_21_a_star_pathfinding,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_22_graph_coloring_backtrack,optimization,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_23_regex_pattern_matcher,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_24_rsa_key_generation,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_25_aes_block_cipher,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_26_wavelet_transform_signal,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_27_pagerank_algorithm,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_28_rna_secondary_structure,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_29_hidden_markov_viterbi,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_30_matrix_inversion_gauss,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
